team,clean_sheets_17_18,clean_sheets,xCS
Manchester United,19,14,0.368421053
Manchester City,18,19,0.5
Liverpool,17,18,0.473684211
Chelsea,16,16,0.421052632
Tottenham,16,16,0.421052632
Arsenal,13,14,0.368421053
Burnley,12,8,0.210526316
Brighton,10,8,0.210526316
Everton,10,9,0.236842105
Huddersfield,10,9,0.236842105
West Bromwich Albion,10,0,0
West Ham,10,9,0.236842105
Crystal Palace,9,10,0.263157895
Leicester,9,10,0.263157895
Newcastle United,9,10,0.263157895
Swansea City,9,0,0
Watford,9,9,0.236842105
Southampton,8,9,0.236842105
Bournemouth,6,8,0.210526316
Stoke City,6,0,0
Fulham,0,7,0.184210526
Cardiff,0,8,0.210526316
Wolverhampton Wanderers,0,10,0.263157895
